outlet_id,total_images,file_name,suspicion_score,reason
outlet_680cfd33,12,image_0001.jpg,0.9339,Isolated in feature space (Isolation Forest)
outlet_68bc17a7,30,image_0024.jpg,0.6011,Isolated in feature space (Isolation Forest)
outlet_6aa59f2b,40,image_0002_1.jpg,0.5035,Isolated in feature space (Isolation Forest)
outlet_6aa59f2b,40,image_0003_1.jpg,0.6432,Isolated in feature space (Isolation Forest)
outlet_6aa59f2b,40,image_0034.jpg,0.6104,Isolated in feature space (Isolation Forest)
outlet_6b2080bc,6,image_0003.jpg,0.8735,Few nearby neighbours in feature space
outlet_6cd2f45a,6,image_0002.jpg,0.877,Few nearby neighbours in feature space
outlet_6df6bcc9,5,,,
outlet_70f9bde3,8,,,
outlet_7109ee18,18,,,
outlet_731b30e0,6,,,
outlet_74d4383f,7,,,
outlet_76e418b9,14,,,
outlet_777f9297,13,image_0001_1.jpg,0.7124,Isolated in feature space (Isolation Forest)
outlet_777f9297,13,image_0004.jpg,0.5129,Isolated in feature space (Isolation Forest)
outlet_782744b7,7,,,
outlet_7b0d7e5d,10,,,
outlet_7d7b1abc,25,image_0004.jpg,0.5245,Isolated in feature space (Isolation Forest)
outlet_7f1dd575,10,,,
outlet_8033796b,12,image_0012.jpg,0.8475,Isolated in feature space (Isolation Forest)
outlet_817272f8,5,,,
outlet_827dd729,14,image_0001_1.jpg,0.7557,Isolated in feature space (Isolation Forest)
outlet_827dd729,14,image_0003.jpg,0.637,Isolated in feature space (Isolation Forest)
outlet_830a6674,14,,,
outlet_830ca989,19,,,
outlet_8543b5b4,10,image_0004_1.jpg,0.8815,Isolated in feature space (Isolation Forest)
outlet_867ffca6,15,image_0003.jpg,0.7109,Isolated in feature space (Isolation Forest)
outlet_875df2f2,13,image_0009.jpg,0.6754,Isolated in feature space (Isolation Forest)
outlet_89fe040d,25,image_0002.jpg,0.7119,Isolated in feature space (Isolation Forest)
outlet_89fe040d,25,image_0003.jpg,0.6369,Isolated in feature space (Isolation Forest)
outlet_89fe040d,25,image_0004.jpg,0.6654,Isolated in feature space (Isolation Forest)
outlet_89fe040d,25,image_0008.jpg,0.6088,Isolated in feature space (Isolation Forest)
outlet_8c4b499e,9,image_0001.jpg,0.6805,Low similarity to cluster centroid
outlet_8c4b499e,9,image_0002.jpg,0.6197,Low similarity to cluster centroid
outlet_8c4b499e,9,image_0006.jpg,0.6655,Low similarity to cluster centroid
outlet_8cae84d2,8,,,
outlet_927fbbbb,8,,,
outlet_9486512c,8,,,
outlet_94a1339f,12,,,
outlet_95569b27,11,,,
outlet_956b57b6,7,,,
outlet_9587ffc0,12,,,
outlet_96903c66,18,image_0014.jpg,0.6125,Isolated in feature space (Isolation Forest)
outlet_96903c66,18,image_0017.jpg,0.6678,Isolated in feature space (Isolation Forest)
outlet_96903c66,18,image_0018.jpg,0.7533,Isolated in feature space (Isolation Forest)
outlet_9c031b9b,19,image_0001_1.jpg,0.5916,Isolated in feature space (Isolation Forest)
outlet_9c031b9b,19,image_0002_1.jpg,0.7096,Isolated in feature space (Isolation Forest)
outlet_9c031b9b,19,image_0003_1.jpg,0.8002,Isolated in feature space (Isolation Forest)
outlet_9c031b9b,19,image_0004_1.jpg,0.6691,Isolated in feature space (Isolation Forest)
outlet_9e5d2ebe,9,,,
outlet_9f1d1b48,22,,,
outlet_aa2e6f06,7,,,
outlet_aa55187a,15,,,
outlet_aa9c72d7,20,image_0005.jpg,0.87,Isolated in feature space (Isolation Forest)
outlet_aa9c72d7,20,image_0006.jpg,0.8508,Isolated in feature space (Isolation Forest)
outlet_ab1e8a98,10,,,
outlet_abd3f7bb,9,image_0001.jpg,0.8183,Distinct background and signage compared to the rest of the series
outlet_ac1973a7,12,image_0012.jpg,0.5321,Isolated in feature space (Isolation Forest)
outlet_ac589c16,6,,,
outlet_ac5f17a2,40,image_0001.jpg,0.5036,Isolated in feature space (Isolation Forest)
outlet_ac904859,12,image_0001_1.jpg,0.648,Isolated in feature space (Isolation Forest)
outlet_ac904859,12,image_0002_1.jpg,0.6491,Isolated in feature space (Isolation Forest)
outlet_ac904859,12,image_0004.jpg,0.6704,Isolated in feature space (Isolation Forest)
outlet_acf74822,15,image_0013.jpg,0.5478,Isolated in feature space (Isolation Forest)
outlet_ad9690eb,17,,,
outlet_aeaf0389,6,image_0001.jpg,0.5047,Few nearby neighbours in feature space
outlet_b2d035ee,15,image_0012.jpg,0.6242,Isolated in feature space (Isolation Forest)
outlet_b6409886,10,image_0001_1.jpg,0.7782,Isolated in feature space (Isolation Forest)
outlet_b6409886,10,image_0002_1.jpg,0.6603,Isolated in feature space (Isolation Forest)
outlet_ba2e645b,14,,,
outlet_bb8db053,13,,,
outlet_c0381d55,8,,,
outlet_c2181b07,18,image_0003_1.jpg,0.857,Isolated in feature space (Isolation Forest)
outlet_c2fefbb3,8,,,
outlet_c3b06be2,9,image_0008.jpg,0.6094,Few nearby neighbours in feature space
outlet_c41e54d1,15,,,
outlet_c45b06f5,13,image_0007.jpg,0.7793,Isolated in feature space (Isolation Forest)
outlet_c816ff76,13,image_0001_1.jpg,0.7628,Isolated in feature space (Isolation Forest)
outlet_c9465127,11,image_0009.jpg,0.8001,Isolated in feature space (Isolation Forest)
outlet_ccbf4451,9,image_0009.jpg,0.5749,Few nearby neighbours in feature space
outlet_cf8dc0e2,11,image_0001_1.jpg,0.6463,Isolated in feature space (Isolation Forest)
outlet_cf8dc0e2,11,image_0002_1.jpg,0.7471,Isolated in feature space (Isolation Forest)
outlet_cf8dc0e2,11,image_0007.jpg,0.7307,Isolated in feature space (Isolation Forest)
outlet_d1358ee8,6,,,
outlet_d24e34d8,6,image_0004.jpg,0.6492,Few nearby neighbours in feature space
outlet_d301c743,6,,,
outlet_d371a9c7,6,,,
outlet_d41a1422,8,image_0001_1.jpg,0.5665,Few nearby neighbours in feature space
outlet_d5d1af09,7,,,
outlet_d8c2f00a,12,,,
outlet_d993a28a,27,image_0012.jpg,0.5878,Isolated in feature space (Isolation Forest)
outlet_db0cff8a,16,,,
outlet_de743a96,11,,,
outlet_def72cf4,15,image_0001.jpg,0.829,Isolated in feature space (Isolation Forest)
outlet_e1278646,13,image_0001_1.jpg,0.8038,Isolated in feature space (Isolation Forest)
outlet_e181d85d,18,,,
outlet_e3490c34,13,,,
outlet_e72326eb,17,,,
outlet_e9f9a70d,16,image_0002.jpg,0.9114,Isolated in feature space (Isolation Forest)
outlet_ec938d8d,10,image_0004.jpg,0.6805,Isolated in feature space (Isolation Forest)
outlet_ed090717,9,,,
outlet_eef1223c,16,,,
outlet_ef7a091c,6,,,
outlet_f02e170e,6,image_0004.jpg,0.5452,Few nearby neighbours in feature space
outlet_f55150ab,10,image_0002.jpg,0.5833,Isolated in feature space (Isolation Forest)
outlet_f5ebfe3f,9,,,
outlet_f8b4c480,13,image_0009.jpg,0.6324,Isolated in feature space (Isolation Forest)
outlet_fe059a3c,17,image_0005.jpg,0.9222,Isolated in feature space (Isolation Forest)
outlet_ff5c6fd3,10,,,
outlet_ffb4b10a,7,,,
